dataset,mode,sample_count,strict_boundary_f1,strict_span_f1,relaxed_boundary_f1,relaxed_span_f1,mean_token_count,upos_labeled_f1,deprel_labeled_f1,upos_model_f1,deprel_model_f1
UD_Chinese-GSD,raw_char,500,0.761848,0.394349,0.761848,0.741991,38.412,0.39814179024453433,0.39814179024453433,0.35660630379901603,0.30698968471304305
UD_Chinese-GSD,traditional_joint_lexicon,500,0.869616,0.713971,0.925928,0.914948,22.234,0.7083765097335476,0.7083765097335476,0.6437991815511925,0.4891017695879003
UD_Chinese-GSD,single_gsd,500,0.933861,0.838666,0.942273,0.933946,26.484,0.8416613965787246,0.8416613965787246,0.7730692307669917,0.6176951300424496
UD_Chinese-GSD,single_gsdsimp,500,0.850915,0.65053,0.898946,0.892353,28.448,0.6571652072061414,0.6571652072061414,0.5993345964674711,0.4863911629467719
UD_Chinese-GSD,joint_gsd_gsdsimp,500,0.934645,0.840935,0.944483,0.936049,26.362,0.8442339932954217,0.8442339932954217,0.7754047336495082,0.6187081994139318
UD_Chinese-GSD,jieba,500,0.89198,0.741877,0.922236,0.908227,22.268,0.744487985671055,0.744487985671055,0.6701123613590815,0.5362331062269634
UD_Chinese-GSD,pkuseg,500,0.890095,0.741699,0.926112,0.916497,22.182,0.7359529169874968,0.7359529169874968,0.6578807231429683,0.5249149753404312
UD_Chinese-GSD,stanza_zh_gsdsimp,500,0.907961,0.773626,0.935063,0.930086,26.242,0.7801095134579785,0.7801095134579785,0.7119200829193589,0.5722663243821515
UD_Chinese-GSDSimp,raw_char,500,0.761848,0.394349,0.761848,0.741991,38.412,0.39814179024453433,0.39814179024453433,0.356103393005361,0.3068492486544479
UD_Chinese-GSDSimp,traditional_joint_lexicon,500,0.872542,0.720438,0.927927,0.916882,22.324,0.7140402338771734,0.7140402338771734,0.6488685639436779,0.49456934715573514
UD_Chinese-GSDSimp,single_gsd,500,0.854301,0.663031,0.904705,0.897918,28.056,0.6687378796600698,0.6687378796600698,0.6098074587451172,0.4939014405022774
UD_Chinese-GSDSimp,single_gsdsimp,500,0.933059,0.836572,0.940625,0.932227,26.62,0.8395793860959951,0.8395793860959951,0.7715465928031815,0.6161757712518825
UD_Chinese-GSDSimp,joint_gsd_gsdsimp,500,0.934436,0.840413,0.944274,0.935689,26.36,0.8434436368271981,0.8434436368271981,0.7748987155620765,0.6184270456843255
UD_Chinese-GSDSimp,jieba,500,0.92255,0.79563,0.929769,0.907581,21.75,0.7953582488453043,0.7953582488453043,0.7171439352458353,0.5750432379796727
UD_Chinese-GSDSimp,pkuseg,500,0.923508,0.797486,0.930496,0.921157,21.488,0.7879243596955627,0.7879243596955627,0.7056947199008395,0.5648108796631757
UD_Chinese-GSDSimp,stanza_zh_gsdsimp,500,0.974924,0.939826,0.982879,0.978947,24.24,0.941501275220662,0.941501275220662,0.8582446790420479,0.6862877476248108
UD_Chinese-PUD,raw_char,1000,0.743784,0.37687,0.743784,0.725196,35.48,0.38079718114887323,0.38079718114887323,0.3079224381044145,0.25820814675298104
UD_Chinese-PUD,traditional_joint_lexicon,1000,0.858415,0.685266,0.915049,0.897222,20.773,0.6874906216008777,0.6874906216008777,0.5981436793388146,0.3861155086190721
UD_Chinese-PUD,single_gsd,1000,0.930035,0.828472,0.935117,0.925353,23.878,0.830107696663164,0.830107696663164,0.7151869764739797,0.4928365061756156
UD_Chinese-PUD,single_gsdsimp,1000,0.845446,0.639443,0.88487,0.877011,26.142,0.6386132197745228,0.6386132197745228,0.5416951715327705,0.39605178840106364
UD_Chinese-PUD,joint_gsd_gsdsimp,1000,0.931629,0.832201,0.937371,0.927884,23.776,0.8339845844208033,0.8339845844208033,0.7186463856754456,0.4943211096629101
UD_Chinese-PUD,jieba,1000,0.907052,0.776027,0.934064,0.919392,20.715,0.775124104489143,0.775124104489143,0.6525959242790121,0.4512683937751995
UD_Chinese-PUD,pkuseg,1000,0.911455,0.795755,0.940482,0.928924,20.892,0.7950602233548855,0.7950602233548855,0.6636958576978365,0.4663076929325341
UD_Chinese-PUD,stanza_zh_gsdsimp,1000,0.903333,0.756268,0.921772,0.916979,23.971,0.7546492000267361,0.7546492000267361,0.6410142786564017,0.457356472463081
UD_Chinese-HK,raw_char,1004,0.808974,0.520366,0.808974,0.819401,14.007,0.5847153885183727,0.5847153885183727,0.4693018062241446,0.35791107968272107
UD_Chinese-HK,traditional_joint_lexicon,1004,0.841228,0.638254,0.888956,0.897306,8.651,0.6200544333643473,0.6200544333643473,0.5025377137565908,0.36997631193857383
UD_Chinese-HK,single_gsd,1004,0.920052,0.80333,0.929394,0.933888,10.504,0.8074850093831771,0.8074850093831771,0.6487527053549408,0.45894532286979006
